,Organism group,ID,Create date,Isolation type,Location,Isolation source,Laboratory typing platform,Testing standard
275,escherichia_coli,ID_25831275,2022-10-24T23:53:34Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
1795,escherichia_coli,ID_23877075,2022-06-22T23:24:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
749,escherichia_coli,ID_32335275,2024-02-17T06:12:36Z,clinical,USA:Boston,urine,Vitek,CLSI
1539,escherichia_coli,ID_23870425,2022-06-22T18:32:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
869,escherichia_coli,ID_32121315,2024-02-16T16:25:56Z,clinical,USA:Boston,urine,Vitek,CLSI
2550,escherichia_coli,ID_24164745,2022-07-06T07:03:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1911,escherichia_coli,ID_23879425,2022-06-22T23:42:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1687,escherichia_coli,ID_23874925,2022-06-22T23:05:51Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
25,escherichia_coli,ID_26420885,2022-11-27T23:13:53Z,clinical,Greece,blood,Vitek,EUCAST
715,escherichia_coli,ID_32338295,2024-02-05T20:15:29Z,clinical,USA:Boston,urine,Vitek,CLSI
423,escherichia_coli,ID_32330675,2024-02-19T12:04:24Z,clinical,USA:Boston,Abscess,Vitek,CLSI
288,escherichia_coli,ID_25831645,2022-10-24T23:56:31Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2932,escherichia_coli,ID_25789075,2022-10-21T16:39:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1277,escherichia_coli,ID_23863785,2022-06-22T17:25:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1027,escherichia_coli,ID_23858705,2022-06-22T16:49:43Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2387,escherichia_coli,ID_23891095,2022-06-23T01:17:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1766,escherichia_coli,ID_23876495,2022-06-22T23:18:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1173,escherichia_coli,ID_23861685,2022-06-22T17:10:58Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2384,escherichia_coli,ID_23891045,2022-06-23T01:16:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1238,escherichia_coli,ID_23862995,2022-06-22T17:20:29Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1295,escherichia_coli,ID_23865395,2022-06-22T17:39:37Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
435,escherichia_coli,ID_32329215,2024-02-18T03:07:30Z,clinical,USA:Boston,Pelvic abscess,Vitek,CLSI
181,escherichia_coli,ID_25828875,2022-10-24T23:35:43Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2090,escherichia_coli,ID_23883085,2022-06-23T00:16:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
103,escherichia_coli,ID_22758785,2022-03-29T23:10:17Z,clinical,Brazil: Sao Paulo,urine,,EUCAST
1393,escherichia_coli,ID_23867455,2022-06-22T18:05:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1617,escherichia_coli,ID_23872005,2022-06-22T18:45:10Z,clinical,USA: District of Columbia,respiratory,Phoenix,CLSI
1746,escherichia_coli,ID_23876105,2022-06-22T23:13:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1111,escherichia_coli,ID_23860425,2022-06-22T17:02:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1786,escherichia_coli,ID_23876905,2022-06-22T23:21:57Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1401,escherichia_coli,ID_23867615,2022-06-22T18:06:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2626,escherichia_coli,ID_25579505,2022-10-17T16:42:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1762,escherichia_coli,ID_23876425,2022-06-22T23:18:39Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1305,escherichia_coli,ID_23865605,2022-06-22T17:41:36Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
439,escherichia_coli,ID_31775865,2024-02-06T16:14:36Z,clinical,USA:Boston,Perianal abscess,Vitek,CLSI
1724,escherichia_coli,ID_23875665,2022-06-22T23:10:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2495,escherichia_coli,ID_23894885,2022-06-23T03:07:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
735,escherichia_coli,ID_32336875,2024-02-05T04:52:34Z,clinical,USA:Boston,urine,Vitek,CLSI
714,escherichia_coli,ID_32338435,2024-02-17T00:09:36Z,clinical,USA:Boston,urine,Vitek,CLSI
2178,escherichia_coli,ID_23884895,2022-06-23T00:31:28Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
149,escherichia_coli,ID_25828235,2022-10-24T23:30:32Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
3025,escherichia_coli,ID_3571665,2018-09-16T08:11:05Z,clinical,,,,CLSI
1440,escherichia_coli,ID_23868415,2022-06-22T18:13:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1133,escherichia_coli,ID_23860865,2022-06-22T17:05:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
22,escherichia_coli,ID_692675,2014-05-19T17:35:10Z,clinical,USA: Boston,urine,,
1432,escherichia_coli,ID_23868255,2022-06-22T18:12:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1175,escherichia_coli,ID_23861725,2022-06-22T17:11:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1203,escherichia_coli,ID_23862305,2022-06-22T17:15:02Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
681,escherichia_coli,ID_15674365,2020-11-24T01:04:11Z,environmental/other,Canada: Quebec,manure,Sensititer,CLSI
1707,escherichia_coli,ID_23875325,2022-06-22T23:08:54Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1860,escherichia_coli,ID_23878405,2022-06-22T23:36:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
890,escherichia_coli,ID_36669135,2024-02-15T20:09:48Z,clinical,USA:Boston,Urinary tract infection,Vitek,CLSI
2252,escherichia_coli,ID_23886425,2022-06-23T00:41:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2543,escherichia_coli,ID_23924225,2022-06-27T09:42:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2778,escherichia_coli,ID_25785405,2022-10-21T15:17:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
436,escherichia_coli,ID_32329155,2024-02-17T02:04:52Z,clinical,USA:Boston,blood,Vitek,CLSI
98,escherichia_coli,ID_12923175,2020-04-20T16:16:45Z,clinical,USA:Cincinnati,urine,,CLSI
542,escherichia_coli,ID_4568575,2019-07-12T10:50:37Z,clinical,"USA: Rochester, NY",urine,,CLSI
1639,escherichia_coli,ID_23872415,2022-06-22T18:49:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1130,escherichia_coli,ID_23860805,2022-06-22T17:04:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1962,escherichia_coli,ID_23880435,2022-06-22T23:50:00Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2106,escherichia_coli,ID_23883405,2022-06-23T00:17:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1378,escherichia_coli,ID_23867165,2022-06-22T18:02:50Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2867,escherichia_coli,ID_25787305,2022-10-21T16:02:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1094,escherichia_coli,ID_23860085,2022-06-22T16:59:38Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2467,escherichia_coli,ID_23894315,2022-06-23T03:02:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
824,escherichia_coli,ID_32330035,2023-07-27T14:48:11Z,clinical,USA:Boston,urine,Vitek,CLSI
1073,escherichia_coli,ID_23859625,2022-06-22T16:56:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1325,escherichia_coli,ID_23866035,2022-06-22T17:49:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1775,escherichia_coli,ID_23876665,2022-06-22T23:21:04Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
799,escherichia_coli,ID_32331055,2024-02-17T12:10:17Z,clinical,USA:Boston,urine,Vitek,CLSI
1265,escherichia_coli,ID_23863545,2022-06-22T17:24:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
70,escherichia_coli,ID_12479855,2017-04-13T19:03:52Z,clinical,USA:Boston,urine,Vitek,CLSI
624,escherichia_coli,ID_15672085,2020-11-24T00:25:12Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1041,escherichia_coli,ID_23858985,2022-06-22T16:51:31Z,clinical,USA: District of Columbia,blood,Phoenix,CLSI
1897,escherichia_coli,ID_23879145,2022-06-22T23:41:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
170,escherichia_coli,ID_25828635,2022-10-24T23:34:10Z,environmental/other,Netherlands,retail veal,Sensititre,EUCAST
583,escherichia_coli,ID_4566765,2019-07-12T10:50:51Z,clinical,"USA: Rochester, NY",drain from toe infection,,CLSI
429,escherichia_coli,ID_32330115,2024-02-17T16:02:38Z,clinical,USA:Boston,Rectal,Vitek,CLSI
519,escherichia_coli,ID_4567725,2019-07-12T08:46:55Z,clinical,"USA: Rochester, NY",urine,,CLSI
2419,escherichia_coli,ID_23891745,2022-06-23T01:21:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
541,escherichia_coli,ID_4567375,2019-07-12T10:50:36Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
1468,escherichia_coli,ID_23868995,2022-06-22T18:19:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1205,escherichia_coli,ID_23862345,2022-06-22T17:15:13Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2711,escherichia_coli,ID_25783515,2022-10-21T14:43:11Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1559,escherichia_coli,ID_23870795,2022-06-22T18:35:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
600,escherichia_coli,ID_15671595,2020-11-24T00:16:36Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1749,escherichia_coli,ID_23876155,2022-06-22T23:17:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2441,escherichia_coli,ID_23892175,2022-06-23T01:24:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1650,escherichia_coli,ID_23872665,2022-06-22T18:50:34Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
546,escherichia_coli,ID_4567495,2019-07-12T10:50:37Z,clinical,"USA: Rochester, NY",sepsis,,CLSI
2783,escherichia_coli,ID_25785505,2022-10-21T15:20:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
730,escherichia_coli,ID_32337575,2024-02-19T12:04:22Z,clinical,USA:Boston,urine,Vitek,CLSI
2922,escherichia_coli,ID_25788875,2022-10-21T16:32:32Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1673,escherichia_coli,ID_23874645,2022-06-22T23:03:35Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
303,escherichia_coli,ID_25832015,2022-10-24T23:59:18Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
41,escherichia_coli,ID_12766035,2016-01-02T12:22:35Z,clinical,USA:Boston,tacheal aspirate,Vitek,CLSI
2930,escherichia_coli,ID_25789035,2022-10-21T16:38:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2874,escherichia_coli,ID_25787705,2022-10-21T16:06:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2963,escherichia_coli,ID_25789715,2022-10-21T16:55:20Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1200,escherichia_coli,ID_23862245,2022-06-22T17:14:46Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2239,escherichia_coli,ID_23886165,2022-06-23T00:40:09Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
966,escherichia_coli,ID_23857465,2022-06-22T16:41:39Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
56,escherichia_coli,ID_12642825,2016-07-25T12:20:10Z,clinical,USA:Boston,urine,Vitek,CLSI
540,escherichia_coli,ID_4567565,2019-07-12T10:50:36Z,clinical,"USA: Rochester, NY",urine,,CLSI
2878,escherichia_coli,ID_25787925,2022-10-21T16:08:22Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2574,escherichia_coli,ID_24165585,2022-07-06T07:05:56Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
185,escherichia_coli,ID_25828945,2022-10-24T23:37:29Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2578,escherichia_coli,ID_24165665,2022-07-06T07:06:20Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2163,escherichia_coli,ID_23884605,2022-06-23T00:27:14Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3003,escherichia_coli,ID_2055635,2017-03-21T12:53:07Z,clinical,,,,CLSI
27,escherichia_coli,ID_26421005,2022-11-27T23:15:11Z,clinical,Greece,bile,Vitek,EUCAST
1915,escherichia_coli,ID_23879495,2022-06-22T23:43:33Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
16,escherichia_coli,ID_692535,2014-05-19T17:30:13Z,clinical,USA: Boston,urine,,
1398,escherichia_coli,ID_23867555,2022-06-22T18:05:47Z,clinical,USA: District of Columbia,wound,Phoenix,CLSI
2431,escherichia_coli,ID_23891965,2022-06-23T01:23:19Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2796,escherichia_coli,ID_25785765,2022-10-21T15:26:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1972,escherichia_coli,ID_23880645,2022-06-22T23:52:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1290,escherichia_coli,ID_23864045,2022-06-22T17:27:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1885,escherichia_coli,ID_23878895,2022-06-22T23:39:30Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
3021,escherichia_coli,ID_2796585,2017-11-27T09:04:23Z,clinical,,,,CLSI
2522,escherichia_coli,ID_23895495,2022-06-23T03:18:16Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
151,escherichia_coli,ID_25828275,2022-10-24T23:31:11Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
950,escherichia_coli,ID_23857145,2022-06-22T16:39:10Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2630,escherichia_coli,ID_25579625,2022-10-17T15:25:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
903,escherichia_coli,ID_38080495,2024-04-11T13:50:22Z,clinical,USA:Boston,urine,Vitek,CLSI
1646,escherichia_coli,ID_23872585,2022-06-22T18:50:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1586,escherichia_coli,ID_23871365,2022-06-22T18:40:27Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1596,escherichia_coli,ID_23871565,2022-06-22T18:41:31Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2034,escherichia_coli,ID_23881885,2022-06-23T00:07:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2587,escherichia_coli,ID_24165845,2022-07-06T07:08:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
385,escherichia_coli,ID_32337935,2024-02-06T18:05:24Z,clinical,USA:Boston,Bronchial alveolar lavage,Vitek,CLSI
334,escherichia_coli,ID_25832755,2022-10-25T00:05:01Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
2346,escherichia_coli,ID_23890145,2022-06-23T01:07:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2795,escherichia_coli,ID_25785745,2022-10-21T15:26:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1893,escherichia_coli,ID_23879075,2022-06-22T23:40:21Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
865,escherichia_coli,ID_32182105,2024-02-19T06:11:58Z,clinical,USA:Boston,urine,Vitek,CLSI
2714,escherichia_coli,ID_25783575,2022-10-21T14:44:25Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
145,escherichia_coli,ID_25828095,2022-10-24T23:29:56Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
2603,escherichia_coli,ID_24166165,2022-07-06T07:11:08Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2716,escherichia_coli,ID_25783615,2022-10-21T14:45:12Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
99,escherichia_coli,ID_12915085,2020-04-20T16:16:45Z,clinical,USA:Cincinnati,urine,,CLSI
1921,escherichia_coli,ID_23879625,2022-06-22T23:44:15Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
515,escherichia_coli,ID_4568225,2019-07-12T08:46:53Z,clinical,"USA: Rochester, NY",urine,,CLSI
415,escherichia_coli,ID_31776415,2024-02-05T04:52:35Z,clinical,USA:Boston,blood,Vitek,CLSI
399,escherichia_coli,ID_32333855,2024-02-04T19:02:30Z,clinical,USA:Boston,blood,Vitek,CLSI
2049,escherichia_coli,ID_23882185,2022-06-23T00:09:18Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2202,escherichia_coli,ID_23885415,2022-06-23T00:34:42Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1907,escherichia_coli,ID_23879345,2022-06-22T23:42:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2790,escherichia_coli,ID_25785645,2022-10-21T15:23:23Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1630,escherichia_coli,ID_23872265,2022-06-22T18:47:26Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
461,escherichia_coli,ID_12774415,2015-12-01T17:20:16Z,clinical,USA:Boston,blood,Vitek,CLSI
271,escherichia_coli,ID_25831135,2022-10-24T23:53:07Z,environmental/other,Netherlands,cecal content,Sensititre,EUCAST
626,escherichia_coli,ID_15672115,2020-11-24T00:25:24Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
857,escherichia_coli,ID_31835125,2024-02-18T10:17:43Z,clinical,USA:Boston,urine,Vitek,CLSI
2709,escherichia_coli,ID_25783455,2022-10-21T14:41:21Z,clinical,USA: District of Columbia,Perirectal,Phoenix,CLSI
1511,escherichia_coli,ID_23869865,2022-06-22T18:27:29Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2371,escherichia_coli,ID_23890645,2022-06-23T01:10:53Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2168,escherichia_coli,ID_23884705,2022-06-23T00:27:45Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
2033,escherichia_coli,ID_23881865,2022-06-23T00:07:17Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
104,escherichia_coli,ID_25827035,2022-10-24T23:20:50Z,environmental/other,Netherlands,retail chicken,Sensititre,EUCAST
1929,escherichia_coli,ID_23879785,2022-06-22T23:45:59Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
1664,escherichia_coli,ID_23874465,2022-06-22T23:02:46Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
602,escherichia_coli,ID_15671645,2020-11-24T00:18:07Z,clinical,Canada: Quebec,feces,Sensititer,CLSI
1773,escherichia_coli,ID_23876645,2022-06-22T23:20:47Z,clinical,USA: District of Columbia,urine,Phoenix,CLSI
